# SCF v2.3.1 accepted merges by witness frame type (fineweb, structured)

# scale 200000

## empty_frame accepted merges (first 20 in candidate order)
<num> <=> <num> , <num> | L=[] R=[] | induced_unions=0 | pair_witnesses=2 | witness_types=empty_frame+internal_frame
## right_boundary accepted merges (first 20 in candidate order)
single post <=> public profile | L=[view] R=[] | induced_unions=1 | pair_witnesses=1 | witness_types=right_boundary
single post <=> on map | L=[view] R=[] | induced_unions=1 | pair_witnesses=1 | witness_types=right_boundary
single post <=> full screen | L=[view] R=[] | induced_unions=1 | pair_witnesses=1 | witness_types=right_boundary
<num> <=> at ohio state | L=[<num> ,] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
<num> <=> delaware state * | L=[<num> ,] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
<num> <=> is scheduled to | L=[<num> ,] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
<num> <=> <num> official logo | L=[uefa euro] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
<num> <=> any business you | L=[in] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
<num> <=> appreciation is requested | L=[in] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
<num> <=> the drawings : | L=[in] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
feb <num> <=> sep <num> | L=[join date :] R=[] | induced_unions=1 | pair_witnesses=1 | witness_types=right_boundary
<num> <num> <=> experience : | L=[blue man group] R=[] | induced_unions=1 | pair_witnesses=1 | witness_types=right_boundary
, <num> <=> , tennessee state | L=[<num>] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
, <num> <=> , samford | L=[<num>] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
, <num> <=> . <num> ) | L=[<num>] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
, <num> <=> + five = | L=[<num>] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
, <num> <=> stirling rd | L=[<num>] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
, <num> <=> tim . iv | L=[<num>] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
, <num> <=> cor . ix | L=[<num>] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
, <num> <=> cor . xv | L=[<num>] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary

## internal_frame accepted merges (first 20 in candidate order)
| <=> chicago , il | L=[| |] R=[|] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
| <=> guest cast : | L=[|] R=[| |] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
| <=> aids pandemic in | L=[|] R=[| |] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
: <=> : <num> , | L=[<num>] R=[<num> . <num> : <num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
of <=> of non - | L=[| number] R=[critical violations : | | <num> |] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
of <=> . <num> : | L=[<num> - <num>] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
<num> <=> i would ! | L=[(] R=[)] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
<num> <=> <num> here and | L=[buzz words of] R=[here] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
<num> <=> <num> part two | L=[buzz words of] R=[here] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
<num> <=> <num> goals each | L=[(] R=[)] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
<num> <=> <num> m <num> | L=[downloaded] R=[s ago] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
<num> <=> it's free . | L=[(] R=[)] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
| | <=> videos & gallery | L=[|] R=[|] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
| | <=> gdańsk and poznań | L=[|] R=[|] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
| | <=> table of contents | L=[|] R=[|] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
, <=> - <num> of | L=[<num>] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
, <=> : <num> - | L=[<num>] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
, <num> : <=> <num> : | L=[<num> - <num> - <num>] R=[<num> pm] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
about <=> holiday recycling | L=[it's] R=[time] | induced_unions=2 | pair_witnesses=1 | witness_types=internal_frame
to <=> to the determination | L=[thereafter , processing proceeds] R=[step s <num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
